"","genus","species","jack_001_Anoplogaster_c_m","jack_002_Arnoglossus_c_m","jack_003_Brevoortia_c_m","jack_004_Buglossidium_c_m","jack_005_Callionymus_c_m","jack_006_Carcharhinus_c_m","jack_007_Chaenocephalus_c_m","jack_008_Channa_c_m","jack_009_Chelon_c_m","jack_010_Chiloscyllium_c_m","jack_011_Chromis_c_m","jack_012_Engraulis_c_m","jack_013_Gadus_c_m","jack_014_Gasterosteus_c_m","jack_015_Gillichthys_c_m","jack_016_Glossogobius_c_m","jack_017_Hippocampus_c_m","jack_018_Hippoglossoides_c_m","jack_019_Limanda_c_m","jack_020_Lipophrys_c_m","jack_021_Lutjanus_c_m","jack_022_Mugil_c_m","jack_023_Notothenia_c_m","jack_024_Ophiodon_c_m","jack_025_Pleuronectes_c_m","jack_026_Pomadasys_c_m","jack_027_Pseudopleuronectes_c_m","jack_028_Scomber_c_m","jack_029_Scophthalmus_c_m","jack_030_Scyliorhinus_c_m","jack_031_Sebastolobus_c_m","jack_032_Solea_c_m","jack_033_Squalus_c_m","jack_034_Thunnus_c_m","jack_035_Torpedo_c_m","jack_036_Trematomus_c_m","jack_037_Zoarces_c_m","jack_038_Chanos_c_m","jack_039_Dorosoma_c_m","jack_040_Eleginus_c_m","jack_041_Gilchristella_c_m","jack_042_Oncorhynchus_c_m","jack_043_Salmo_c_m","full_params...trai."
"Abudefduf_notatus","Abudefduf","Abudefduf_notatus",16.1941900853143,16.1919445917797,16.3785247381097,16.2650261863077,15.9665988881357,16.1620977686072,16.1960556975904,16.5096319571537,16.2737470962305,16.2458751669268,18.4586014794625,16.4438963805375,16.3452659529415,16.1082047209295,16.4105256869841,16.7493844028955,16.2143143139965,16.1899616979367,16.248294253116,16.1644010325783,16.3479130622885,16.3284706320751,16.3122333813292,16.2457651778381,16.2820625172015,16.0146972144114,16.1509495731415,16.2388193059655,16.2137886091925,16.2025291273257,16.2405180425328,16.21622292219,16.2549897791675,16.2589990409679,16.2277912572176,16.227907718902,16.4422912692447,16.1516895298656,16.3137723267778,16.2561589437361,16.2530697913876,16.2321693403944,16.1169791164454,20.382872767626
"Abudefduf_saxatilis","Abudefduf","Abudefduf_saxatilis",16.0200631794268,15.9708443385406,16.2221328886621,16.0954268170411,15.7158499596944,15.9734236897597,16.0089087436843,16.3480254543243,16.1008042703739,16.0739226709886,18.2562241475041,16.3658409661983,16.1911580944651,15.9335841152156,16.2810679074955,16.6224275113374,16.0354988722731,15.9859651492056,16.0774598628763,15.9877486922947,16.1694392364392,16.1606063292361,16.1498033946917,16.0692992527841,16.1114701937511,15.8192858538875,15.9533769438765,16.0751178900654,16.0475452840342,16.0276244591222,16.0645276666309,16.0461618738497,16.0869197234962,16.0981524698692,16.0510724419613,16.0553058197841,16.2739613248282,15.980623081139,16.1415389250281,16.0875864449348,16.0737645509349,16.055059229558,15.9269119171956,19.0365284002956
"Abudefduf_septemfasciatus","Abudefduf","Abudefduf_septemfasciatus",16.0754336757666,16.0102792022682,16.2628581412697,16.1460431844622,15.738641654145,16.0282183883202,16.0543897432775,16.3985349355589,16.1533392576333,16.12477394091,18.3087665709811,16.4000935232966,16.2377773523761,15.9938904583328,16.2805028326752,16.7145981804524,16.0538451889586,16.0234835205111,16.1287704209828,16.024794838412,16.222100810529,16.2194618686563,16.2114371651839,16.1238872388352,16.1572624606367,15.8705121081862,15.987807307961,16.12432697784,16.1073467628988,16.0827942764811,16.1007201981018,16.1010018740984,16.1376161031017,16.1485384203693,16.1020536784648,16.1073716364636,16.3409892729186,16.0290383491192,16.1884184680814,16.1370565079677,16.1268045807922,16.1115498938164,15.9762504804379,19.0376292771467
"Abudefduf_sexfasciatus","Abudefduf","Abudefduf_sexfasciatus",16.4378513221316,16.4599827886754,16.6177370303872,16.5127887529109,16.2581289487266,16.4157666796077,16.4862580482586,16.7565171362853,16.5227964975301,16.4965159598523,18.7269072673419,16.6013476744411,16.6096945044798,16.3745723514774,16.6179307614152,16.9855226616971,16.5000101935104,16.4653897266883,16.4985338770866,16.4159661358461,16.6047362041988,16.568412525917,16.5544562740123,16.4982243579064,16.5254223589804,16.2883807951963,16.4407963014035,16.4805083045879,16.4676136615573,16.4437780351824,16.4847601459041,16.4729219880676,16.5018312711692,16.5114780453545,16.4822640410698,16.4759586609509,16.6384332521002,16.4122221676575,16.5518491706002,16.5047666277619,16.5043281429759,16.4825511933151,16.3865003498657,19.0321797572643
"Abudefduf_sordidus","Abudefduf","Abudefduf_sordidus",15.9736437484134,15.902570348182,16.1574309994916,16.0409906937792,15.6353637058676,15.9247534307463,15.9270489229944,16.2910904844542,16.0467490861153,16.0184619335959,18.1978663529465,16.349913209406,16.1291189507413,15.8720644251504,16.228779918844,16.5772407710828,15.9971677304119,15.9116790211588,16.0216763812148,15.9250074239669,16.1040292325239,16.1138548797191,16.0992587750257,16.0142109629383,16.0585587812623,15.7585637829195,15.8804701953616,16.0230510872767,15.9970478839468,15.9826142129542,16.012616916173,15.9895960235986,16.0319670949597,16.0436993810627,15.9950050762705,16.0025288393963,16.2239227747779,15.919070430357,16.0898518310507,16.0312656595677,16.0185935110179,16.0036055466125,15.8671011281157,19.0387301597652
"Abudefduf_sparoides","Abudefduf","Abudefduf_sparoides",16.396008497167,16.3996082248783,16.5842035293904,16.4740182942668,16.1823324089833,16.3689345561348,16.4466483235304,16.7218882277803,16.4830063195632,16.457050831342,18.6754548593925,16.5840954021869,16.5785122678199,16.3392314257277,16.5772177130468,16.9749278401256,16.4408974702885,16.4140233809836,16.4598393961428,16.3721215705275,16.5654047088995,16.5307778835505,16.5212811169578,16.458178574439,16.4843368115782,16.2408457074604,16.3914243060137,16.4432828851762,16.4321041721667,16.4023366103479,16.4371259770339,16.4360583351729,16.4636764476978,16.4764271984157,16.4409355020895,16.436006470591,16.6042467454661,16.3743597702181,16.5098229410154,16.4665861180256,16.46229546462,16.4419566500835,16.3400195320183,18.7339284309058
"Abudefduf_taurus","Abudefduf","Abudefduf_taurus",16.1603296629917,16.0937204202187,16.3296866419117,16.2263060789153,15.8290875169171,16.1177870586898,16.1331292133484,16.4753258413894,16.2342743346612,16.2056487052656,18.3976528189487,16.4684169084092,16.3202787839721,16.0749598582261,16.3525698665807,16.7825767678018,16.1830044341276,16.1049391758111,16.2088989217084,16.103035739485,16.2956217286686,16.3006006803744,16.2888583990938,16.2053824761101,16.2381515218615,15.9604212523685,16.0800526325085,16.2037698152538,16.1922849647845,16.1683984803981,16.1860281727575,16.1830021714192,16.2166069590214,16.2312079764884,16.1846911610545,16.1892928578393,16.3906591060303,16.1100900086014,16.2671539725733,16.2161241992485,16.2079958808592,16.1951726945007,16.0648646580579,27.9335393670052
"Abudefduf_troschelii","Abudefduf","Abudefduf_troschelii",16.2979580516184,16.3254198509499,16.496826128507,16.3783227519287,16.1221322505782,16.2748952689931,16.3444818066435,16.6238109970735,16.3857360483828,16.3604786674339,18.5793445530909,16.5076570309359,16.4733511283096,16.2284965261462,16.5295189000905,16.8242776443438,16.3584477650009,16.3337460366886,16.3627455144765,16.2906750925828,16.4649320106144,16.4296496142257,16.4147633371605,16.3595867744112,16.3962292982369,16.1431653008826,16.3071440801244,16.3501028389952,16.3230954645997,16.3099243410678,16.3573656764365,16.3325852857448,16.3670432302577,16.37556801136,16.3441190535746,16.3402388042627,16.5159258880271,16.2761376954015,16.4229337278988,16.3711854954281,16.3658996798359,16.3431941373056,16.2429266565241,22.0623588137955
"Abudefduf_vaigiensis","Abudefduf","Abudefduf_vaigiensis",16.3583252831342,16.3514568589982,16.5760326731651,16.4376979386017,16.2189412739836,16.3552916705412,16.3650240782391,16.6696589765148,16.4465105014866,16.4220351920536,18.7244783888189,16.6891859336328,16.5619451760051,16.2739077366388,16.5115792244123,16.8814796907707,16.3864219831108,16.3427519395661,16.4246610957135,16.3422404485642,16.6486187153251,16.507369828427,16.5059208922132,16.4233486132313,16.4469414334495,16.1926176339412,16.2816800169525,16.4339755876216,16.3923719942064,16.3917253813195,16.4502679295784,16.4007286099471,16.447232222631,16.4531063398488,16.4094434339169,16.4036661804495,16.6303161873551,16.3175645590137,16.4917990392164,16.4353844448567,16.418150046733,16.416100196501,16.3276729721704,16.5281746690917
"Abudefduf_whitleyi","Abudefduf","Abudefduf_whitleyi",16.2555812836216,16.2420937340988,16.4297733253326,16.3241763849397,16.0185793850917,16.2231968066593,16.2564974066634,16.5683048869017,16.3330299992963,16.3055064992291,18.5197338048098,16.5033630479811,16.4132234872441,16.1701652814997,16.4670389889202,16.8140956251488,16.3131785883574,16.243692923816,16.3075659390974,16.2200392480709,16.4029171564884,16.3878773003566,16.3709110302418,16.3047318631865,16.3399368133849,16.0781547345204,16.2155006501881,16.2974128784444,16.2790771752391,16.2613831121227,16.3011138198987,16.278321096911,16.3139017741128,16.3231259599425,16.2881913561165,16.2873394744648,16.4711013551195,16.2129918265984,16.3691529096737,16.3148776107117,16.3112476926172,16.2918778626437,16.1807369789837,16.1866991202877
"Abyssoberyx_levisquamosus","Abyssoberyx","Abyssoberyx_levisquamosus",22.1933139855476,22.6468702936448,22.7447331827018,22.4527117584514,22.2045629817299,22.3772540164527,22.6191839419905,22.9386164697608,22.5659115731044,22.4399107463673,22.5607696470854,21.3206996905603,22.6322030127526,22.4309304258972,21.7506279005974,23.1108050942174,22.806298861515,22.5287937390809,22.4365275203589,22.188625809049,22.5095372846062,22.5699467078207,22.4778006119923,22.4792209958945,22.449734279034,22.0878167255437,22.3759827514437,22.19926247647,22.415557396187,22.5093671948663,22.2289935113641,22.4232223485026,22.3383852292135,22.4961376116587,22.4424323205053,22.5598714327827,22.2703083426561,22.310188258379,22.5229077921587,22.3977412189671,22.5483202864043,22.4412182512887,22.387225630562,16.2182397253006
"Abalistes_filamentosus","Abalistes","Abalistes_filamentosus",20.2098829330681,20.4211225842586,20.7992226570376,20.4428371986955,20.0370409040551,20.3340461980094,20.3140000384583,20.9313947576621,20.5296727026244,20.4155610838575,20.5576329509921,20.4671540422157,20.7084019979044,20.2043256638059,20.2328378533433,21.0296116491113,20.9951410966049,20.3059086655062,20.4104464478353,20.1884077083645,20.7169558689084,20.5922241515563,20.5024329477975,20.424536737145,20.4784442387172,19.8869137042664,20.1249304651384,20.324984605704,20.3657062896835,20.5393696174929,20.4131547054404,20.3618606591504,20.3922400697715,20.5252698484164,20.4009433423148,20.5046424836392,20.3765807459964,20.2080248119898,20.5788766543735,20.4019638553184,20.4554372214057,20.4031914932974,20.305502338262,16.313498509298
"Abalistes_stellatus","Abalistes","Abalistes_stellatus",19.9046898917489,20.0909454718174,20.3996955268675,20.1097094133265,19.5815649272054,19.9980334002834,20.0082865430762,20.6010957815136,20.1937959577883,20.0795101222218,20.1412463177079,20.3021619632751,20.3760191101665,19.8666223794257,19.9798207435372,20.7569217801474,20.799963700467,19.9852944672253,20.0702237290419,19.8364425690253,20.2983809840375,20.2436496847947,20.1442940823419,20.0928035884195,20.1599808054337,19.5493434594877,19.8276130949098,20.0108042806944,20.0281534276842,20.2094291008048,20.0662341581372,20.0152638858844,20.0663330421497,20.1823327000825,20.0591158289611,20.1493423947737,19.9311058168571,19.8795229524492,20.2214343601545,20.0638624402392,20.1048893831574,20.0547930461732,19.9468549641118,16.0012741348005
