Species;Temp(degC);Int(mmol);Slope(b);MinMb(g);MaxMb(g);MedMb(g);VO2(MedMb);VO2(47g);;SMR(MedMb)mW
Platichthys flesus;6;-5.529;0.757;3.0;418.0;210.5;0.228;0.073;;27.45014165
Platichthys flesus;10;-5.159;0.799;3.0;410.0;206.5;0.407;0.125;;49.03188095
Platichthys flesus;14;-4.805;0.775;1.0;327.0;164;0.426;0.162;;51.38607237
Platichthys flesus;15;-5.632;0.812;15.0;550.0;282.5;0.350;0.082;;42.19525069
Platichthys flesus;18;-4.656;0.799;1.0;212.0;106.5;0.396;0.206;;47.72705996
Platichthys flesus;22;-4.574;0.795;1.0;213.0;107;0.423;0.220;;51.04050902
Pleuronectes platessa;2;-6.097;0.790;2.0;245.0;123.5;0.101;0.047;;12.18397059
Pleuronectes platessa;6;-5.655;0.774;2.0;311.0;156.5;0.175;0.069;;21.07707676
Pleuronectes platessa;10;-4.651;0.721;0.1;10.0;5.025;0.031;0.153;;3.689428031
Pleuronectes platessa;10;-4.679;0.642;4.0;37.0;20.5;0.065;0.110;;7.782078528
Pleuronectes platessa;14;-5.116;0.782;2.0;326.0;164;0.324;0.122;;39.02553733
Pleuronectes platessa;18;-4.953;0.778;1.0;207.0;104;0.262;0.141;;31.57914101
Pleuronectes platessa;22;-4.630;0.784;1.0;194.0;97.5;0.353;0.199;;42.6162209
Pogonophryne scotti;-1;-4.516;0.460;58.0;210.0;134;0.104;0.064;;12.5480716
Pseudocrenilabrius  multicolor;27;-4.605;0.690;0.9;3.6;2.25;0.017;0.142;;2.10956663
Salmo gairdneri;5;-5.333;0.784;33.0;150.0;91.5;0.166;0.099;;20.07242886
Salmo gairdneri;11;-4.583;0.789;2.7;1343.0;672.86;1.741;0.213;;209.8984004
Salmo gairdneri;15;-4.651;0.783;54.0;135.0;94.5;0.337;0.195;;40.63394492
Salmo trutta;10;-5.416;0.877;78.0;400.0;239;0.542;0.130;;65.29655143
Salvelinus alpinus;2;-5.986;0.732;0.2;286.0;143.1;0.095;0.042;;11.44713236
Salvelinus alpinus;6;-5.635;0.748;0.2;286.0;143.1;0.146;0.064;;17.61320064
Salvelinus fontinalis;10;-6.864;1.107;27.0;265.0;146;0.260;0.074;;31.3311628
Salvelinus fontinalis;15;-5.759;1.014;30.0;270.0;150;0.507;0.156;;61.17783048
Salvelinus fontinalis;20;-5.550;1.036;26.0;280.0;153;0.713;0.210;;85.97567223
Saratherodon mossambicus;16;-5.101;0.656;10.0;150.0;80;0.108;0.076;;13.01653095
Saratherodon mossambicus;19;-4.728;0.626;10.0;150.0;80;0.137;0.098;;16.56445877
Saratherodon mossambicus;22;-4.444;0.656;10.0;150.0;80;0.208;0.147;;25.09880313
Saratherodon mossambicus;25;-4.082;0.646;10.0;150.0;80;0.286;0.203;;34.50070969
Saratherodon mossambicus;28;-3.941;0.656;10.0;150.0;80;0.344;0.243;;41.51978917
