"","X","SpecCode","Brack","Saltwater","DemersPelag","Species","Genus","Subfamily","Family","Order","Class","SuperClass","c_m","eps_m"
"70",70,16486,0,1,"benthopelagic","Acanthemblemaria spinosa","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"71",71,46725,0,1,"benthopelagic","Acanthemblemaria stephensi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"72",72,351,1,1,"benthopelagic","Acanthistius brasilianus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"73",73,12690,0,1,"benthopelagic","Acanthistius cinctus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"74",74,59850,0,1,"pelagic","Acanthistius fuscus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"75",75,65330,0,1,"pelagic","Acanthistius joanae","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"76",76,15036,0,1,"benthopelagic","Acanthistius ocellatus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"77",77,15038,0,1,"benthopelagic","Acanthistius pardalotus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"78",78,50141,0,1,"demersal","Acanthistius patachonicus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"79",79,15040,0,1,"benthopelagic","Acanthistius paxtoni","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"80",80,57960,0,1,"benthopelagic","Acanthistius pictus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"81",81,7920,0,1,"demersal","Acanthistius sebastoides","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"82",82,15042,0,1,"benthopelagic","Acanthistius serratus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"83",83,10354,0,1,"benthopelagic","Acanthocepola abbreviata","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"84",84,9216,0,1,"benthopelagic","Acanthocepola indica","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"85",85,9215,1,1,"demersal","Acanthocepola krusensternii","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"86",86,9214,0,1,"demersal","Acanthocepola limbata","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"87",87,9046,0,1,"benthopelagic","Acanthochaenus luetkenii","Acanthochaenus",NA,"Stephanoberycidae","Beryciformes","Teleostei","Osteichthyes",NA,NA
"88",88,6655,0,1,"benthopelagic","Acanthochromis polyacanthus","Acanthochromis","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"89",89,12865,1,1,"demersal","Acanthoclinus fuscus","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"90",90,49224,0,1,"demersal","Acanthoclinus littoreus","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"91",91,46323,0,1,"demersal","Acanthoclinus marilynae","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"92",92,47430,0,1,"benthopelagic","Acanthoclinus matti","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"93",93,46322,0,1,"demersal","Acanthoclinus rua","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"94",94,89,0,1,"pelagic","Acanthocybium solandri","Acanthocybium","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes",NA,NA
"95",95,54894,0,1,"demersal","Acanthodraco dewitti","Acanthodraco","Gymnodraconinae","Bathydraconidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"96",96,67583,0,1,"pelagic","Acanthogobius elongatus","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"97",97,3832,1,1,"demersal","Acanthogobius flavimanus","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"98",98,13045,1,1,"demersal","Acanthogobius hasta","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"99",99,67376,0,1,"pelagic","Acanthogobius insularis","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"100",100,23696,1,1,"demersal","Acanthogobius lactipes","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"101",101,55485,1,1,"demersal","Acanthogobius luridus","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"102",102,69021,0,1,"demersal","Acanthogobius stigmothonus","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"103",103,7633,0,1,"benthopelagic","Acantholabrus palloni","Acantholabrus",NA,"Labridae","Labriformes","Teleostei","Osteichthyes",NA,NA
"104",104,51500,0,1,"pelagic","Acantholiparis caecus","Acantholiparis",NA,"Liparidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA
"105",105,25262,0,1,"demersal","Acantholiparis opercularis","Acantholiparis",NA,"Liparidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA
"106",106,3771,1,1,"demersal","Acantholumpenus mackayi","Acantholumpenus",NA,"Lumpenidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"107",107,8943,0,1,"pelagic","Acanthonus armatus","Acanthonus","Neobythitinae","Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes",NA,NA
"108",108,63150,0,1,"demersal","Acanthopagrus akazakii","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"109",109,67314,0,1,"pelagic","Acanthopagrus arabicus","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"110",110,8109,1,1,"demersal","Acanthopagrus australis","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"111",111,5526,1,1,"demersal","Acanthopagrus berda","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"112",112,4543,1,1,"benthopelagic","Acanthopagrus bifasciatus","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"113",113,14601,1,1,"demersal","Acanthopagrus butcheri","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"114",114,67289,1,1,"benthopelagic","Acanthopagrus catenula","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
