"","SpecCode","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass"
"79",57960,"Acanthistius",NA,0,1,"benthopelagic","Acanthistius pictus","Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"80",7920,"Acanthistius",NA,0,1,"demersal","Acanthistius sebastoides","Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"81",15042,"Acanthistius",NA,0,1,"benthopelagic","Acanthistius serratus","Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"82",10354,"Acanthocepola","Cepolinae",0,1,"benthopelagic","Acanthocepola abbreviata","Cepolidae","Eupercaria","Teleostei","Osteichthyes"
"83",9216,"Acanthocepola","Cepolinae",0,1,"benthopelagic","Acanthocepola indica","Cepolidae","Eupercaria","Teleostei","Osteichthyes"
"84",9215,"Acanthocepola","Cepolinae",1,1,"demersal","Acanthocepola krusensternii","Cepolidae","Eupercaria","Teleostei","Osteichthyes"
"85",9214,"Acanthocepola","Cepolinae",0,1,"demersal","Acanthocepola limbata","Cepolidae","Eupercaria","Teleostei","Osteichthyes"
"86",9046,"Acanthochaenus",NA,0,1,"benthopelagic","Acanthochaenus luetkenii","Stephanoberycidae","Beryciformes","Teleostei","Osteichthyes"
"87",6655,"Acanthochromis","Pomacentrinae",0,1,"benthopelagic","Acanthochromis polyacanthus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"88",12865,"Acanthoclinus","Acanthoclininae",1,1,"demersal","Acanthoclinus fuscus","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes"
"89",49224,"Acanthoclinus","Acanthoclininae",0,1,"demersal","Acanthoclinus littoreus","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes"
"90",46323,"Acanthoclinus","Acanthoclininae",0,1,"demersal","Acanthoclinus marilynae","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes"
"91",47430,"Acanthoclinus","Acanthoclininae",0,1,"benthopelagic","Acanthoclinus matti","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes"
"92",46322,"Acanthoclinus","Acanthoclininae",0,1,"demersal","Acanthoclinus rua","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes"
"93",89,"Acanthocybium","Scombrinae",0,1,"pelagic","Acanthocybium solandri","Scombridae","Scombriformes","Teleostei","Osteichthyes"
