"","X.x","Ref","OxygenCons","Weight","Temperature","SpecCode.x","MetabolicLevel","AppliedStress","OxygenRefNo","Genus.x","Subfamily.x","Brack.x","Saltwater.x","DemersPelag.x","Species","Family.x","Order.x","Class.x","SuperClass.x","X.y","SpecCode.y","Genus.y","Subfamily.y","Brack.y","Saltwater.y","DemersPelag.y","Family.y","Order.y","Class.y","SuperClass.y","c_mm","eps_mm"
"13",13,"fishbase",17.95246,0.08389,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"fishbase",19.45596,0.08884,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"fishbase",24.8752,0.08884,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"fishbase",17.639,0.31,26,2,"standard","none specified",5593,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"fishbase",29.14,0.31,26,2,"routine","none specified",5593,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"fishbase",0.01323,1e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"fishbase",0.01775,1e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"fishbase",0.02159,1e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"fishbase",0.01818,3e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"fishbase",0.02439,3e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"fishbase",0.04392,3e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"fishbase",0.04845,3e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"fishbase",0.02676,4e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"fishbase",0.03256,4e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"fishbase",0.03695,5e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"fishbase",0.0633,5e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"fishbase",0.05664,6e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"fishbase",0.07936,8e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"fishbase",0.07392,0.00011,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"fishbase",0.10934,0.00011,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"fishbase",0.1569,0.00015,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"fishbase",0.20664,0.00024,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"fishbase",0.15886,0.00026,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"fishbase",0.21022,0.00046,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"fishbase",0.32844,0.00051,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,"fishbase",0.42366,0.00069,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"fishbase",0.51452,0.00076,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"fishbase",0.3818,0.00092,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"fishbase",0.7222,0.00092,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"fishbase",0.29904,0.00112,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"fishbase",0.72352,0.00112,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,"fishbase",0.402,0.0015,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,"fishbase",0.56682,0.00201,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,"fishbase",1.1826,0.0027,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,"fishbase",1.3716,0.0027,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,"fishbase",0.56918,0.00298,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,"fishbase",0.92496,0.00328,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"fishbase",1.37104,0.00328,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,"fishbase",0.76209,0.00399,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,"fishbase",1.1271,0.0051,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,"fishbase",1.24696,0.00872,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,"fishbase",1.37,0.01,19,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,"fishbase",1.01,0.0101,16,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,"fishbase",2.0298,0.0102,22,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,"fishbase",3.2436,0.0102,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,"fishbase",3.045,0.0105,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,"fishbase",2.5652,0.0106,25,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,"fishbase",2.0352,0.0106,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"fishbase",1.9902,0.0107,22,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,"fishbase",3.4854,0.0111,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"fishbase",4.9042,0.0113,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"fishbase",2.2446,0.0129,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,"fishbase",5.5704,0.0132,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,"fishbase",1.1781,0.0165,16,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,"fishbase",1.881,0.0171,19,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,"fishbase",3.0102,0.0173,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,"fishbase",4.0482,0.0173,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,"fishbase",8.58,0.02,30,3,"routine","none specified",2203,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,"fishbase",12,0.02,30,3,"routine","none specified",2203,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"fishbase",4.1989,0.0211,25,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,"fishbase",2.7104,0.0224,22,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"fishbase",7.3248,0.0224,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,"fishbase",6.102,0.0226,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,"fishbase",7.5696,0.0228,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,"fishbase",6.2094,0.0237,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,"fishbase",1.86181,0.0239,16,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,"fishbase",2.2608,0.024,19,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,"fishbase",4.029,0.0255,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,"fishbase",8.13,0.0271,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,"fishbase",2.00322,0.0279,16,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,"fishbase",2.58912,0.0288,19,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,"fishbase",7.9212,0.0322,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,"fishbase",5.2788,0.0332,25,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,"fishbase",1.8157,0.0335,16,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,"fishbase",2.40195,0.0335,19,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,"fishbase",4.087,0.0335,22,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,"fishbase",3.7065,0.0353,30,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,"fishbase",3.8477,0.0353,30,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,"fishbase",3.9889,0.0353,30,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
