"","SpecCode","Brack","Saltwater","DemersPelag","Species","Genus","Subfamily","Family","Order","Class","SuperClass"
"107",8943,0,1,"pelagic","Acanthonus armatus","Acanthonus","Neobythitinae","Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes"
"108",63150,0,1,"demersal","Acanthopagrus akazakii","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"109",67314,0,1,"pelagic","Acanthopagrus arabicus","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"110",8109,1,1,"demersal","Acanthopagrus australis","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"111",5526,1,1,"demersal","Acanthopagrus berda","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"112",4543,1,1,"benthopelagic","Acanthopagrus bifasciatus","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"113",14601,1,1,"demersal","Acanthopagrus butcheri","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"114",67289,1,1,"benthopelagic","Acanthopagrus catenula","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"115",63767,0,1,"pelagic","Acanthopagrus chinshira","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"116",67331,1,1,"demersal","Acanthopagrus datnia","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"117",6356,1,1,"demersal","Acanthopagrus latus","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"118",67330,0,1,"pelagic","Acanthopagrus morrisonae","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"119",65370,0,1,"demersal","Acanthopagrus omanensis","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"120",65896,1,1,"pelagic","Acanthopagrus pacificus","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"121",8110,1,1,"benthopelagic","Acanthopagrus palmaris","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"122",65100,0,1,"benthopelagic","Acanthopagrus randalli","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"123",6531,1,1,"demersal","Acanthopagrus schlegelii","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"124",67333,0,1,"demersal","Acanthopagrus sheim","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"125",6583,1,1,"demersal","Acanthopagrus sivicolus","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"126",63153,0,1,"demersal","Acanthopagrus taiwanensis","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"127",65558,1,1,"demersal","Acanthopagrus vagus","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"128",67665,0,1,"benthopelagic","Acanthoplesiops cappuccino","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes"
"129",58053,0,1,"pelagic","Acanthoplesiops echinatus","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes"
"130",17444,0,1,"benthopelagic","Acanthoplesiops hiatti","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes"
"131",8004,0,1,"demersal","Acanthoplesiops indicus","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes"
"132",69338,0,1,"demersal","Acanthoplesiops jessicae","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes"
"133",65019,0,1,"pelagic","Acanthoplesiops naka","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes"
"134",59172,0,1,"demersal","Acanthoplesiops psilogaster","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes"
"135",8836,0,1,"demersal","Acanthopsetta nadeshnyi","Acanthopsetta","Pleuronectinae","Pleuronectidae","Pleuronectiformes","Teleostei","Osteichthyes"
"136",25311,0,1,"demersal","Acanthosphex leurynnis","Acanthosphex",NA,"Aploactinidae","Scorpaeniformes","Teleostei","Osteichthyes"
"137",23363,0,1,"demersal","Acanthostracion guineense","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes"
"138",23370,0,1,"demersal","Acanthostracion notacanthus","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes"
"139",4287,0,1,"benthopelagic","Acanthostracion polygonium","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes"
"140",92,0,1,"benthopelagic","Acanthostracion quadricornis","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes"
"141",4306,0,1,"benthopelagic","Acanthurus achilles","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"142",68166,0,1,"benthopelagic","Acanthurus albimento","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"143",13770,0,1,"benthopelagic","Acanthurus albipectoralis","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"144",4748,0,1,"benthopelagic","Acanthurus auranticavus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"145",68792,0,1,"benthopelagic","Acanthurus bahianus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"146",4307,0,1,"benthopelagic","Acanthurus bariene","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"147",4750,0,1,"benthopelagic","Acanthurus blochii","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"148",943,0,1,"benthopelagic","Acanthurus chirurgus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"149",6010,0,1,"benthopelagic","Acanthurus chronixis","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"150",944,0,1,"benthopelagic","Acanthurus coeruleus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"151",1256,0,1,"benthopelagic","Acanthurus dussumieri","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"152",60866,0,1,"benthopelagic","Aioliops tetrophthalmus","Aioliops","Ptereleotrinae","Microdesmidae","Gobiiformes","Teleostei","Osteichthyes"
"153",7093,0,1,"demersal","Akarotaxis nudiceps","Akarotaxis","Bathydraconinae","Bathydraconidae","Perciformes","Teleostei","Osteichthyes"
"154",69495,0,1,"pelagic","Akheilos suwartanai","Akheilos","Schroederichthyinae","Scyliorhinidae","Carcharhiniformes","Elasmobranchii","Chondrichthyes"
"155",54387,0,1,"demersal","Akko brevis","Akko","Gobiinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"156",59851,0,1,"benthopelagic","Altrichthys curatus","Altrichthys","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"157",4273,0,1,"demersal","Aluterus heudelotii","Aluterus",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"158",4274,0,1,"benthopelagic","Aluterus monoceros","Aluterus",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"159",1081,0,1,"benthopelagic","Aluterus schoepfii","Aluterus",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"160",4275,0,1,"benthopelagic","Aluterus scriptus","Aluterus",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"161",8105,0,1,"benthopelagic","Amamiichthys matsubarai","Amamiichthys",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"162",6672,0,1,"benthopelagic","Amanses scopas","Amanses",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"163",4459,0,1,"pelagic","Amarsipus carlsbergi","Amarsipus",NA,"Amarsipidae","Scombriformes","Teleostei","Osteichthyes"
"164",58216,0,1,"demersal","Ambophthalmos eurystigmatephoros","Ambophthalmos",NA,"Psychrolutidae","Scorpaeniformes","Teleostei","Osteichthyes"
"165",58288,0,1,"demersal","Ambophthalmos magnicirrus","Ambophthalmos",NA,"Psychrolutidae","Scorpaeniformes","Teleostei","Osteichthyes"
"166",4745,0,1,"benthopelagic","Acanthurus fowleri","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"167",17471,0,1,"benthopelagic","Acanthurus gahhm","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"168",4749,0,1,"benthopelagic","Acanthurus grammoptilus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"169",4736,0,1,"benthopelagic","Acanthurus guttatus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"170",23375,0,1,"benthopelagic","Acanthurus japonicus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"171",4741,0,1,"benthopelagic","Acanthurus leucocheilus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"172",4737,0,1,"benthopelagic","Acanthurus leucopareius","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"173",1257,0,1,"benthopelagic","Acanthurus leucosternon","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"174",1258,0,1,"benthopelagic","Acanthurus lineatus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"175",4746,0,1,"benthopelagic","Acanthurus maculiceps","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"176",1255,0,1,"benthopelagic","Acanthurus mata","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"177",1800,1,1,"demersal","Acanthurus monroviae","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"178",6011,0,1,"benthopelagic","Acanthurus nigricans","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"179",4747,1,1,"benthopelagic","Acanthurus nigricauda","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"180",4739,0,1,"benthopelagic","Acanthurus nigrofuscus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
