"","X","SpecCode","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass","c_m","eps_m"
"158",158,4749,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus grammoptilus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"159",159,4736,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus guttatus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"160",160,23375,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus japonicus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"161",161,4741,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus leucocheilus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"162",162,4737,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus leucopareius","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"163",163,1257,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus leucosternon","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"164",164,1258,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus lineatus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"165",165,4746,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus maculiceps","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"166",166,1255,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus mata","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"167",167,1800,"Acanthurus","Acanthurinae",1,1,"demersal","Acanthurus monroviae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"168",168,6011,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus nigricans","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"169",169,4747,"Acanthurus","Acanthurinae",1,1,"benthopelagic","Acanthurus nigricauda","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
